,CAB_13Oct,CAB_20Sep
Q2/2023 p,-2533.71,NA
Q1/2023 p,2028.01,3468.97
Q4/2022 p,743.45,1566.99
Q3/2022 p,-7305.4,-7028.34
Q2/2022 p,-7110.78,-7610.82
Q1/2022 p,-2069.68,-1633.42
Q4/2021 ,-1587.91,-1680.57
Q3/2021 ,-4384.5,-4470.33
Q2/2021 ,-2611.78,-2701.11
Q1/2021 ,-1684.3,-1794.08
Q4/2020 ,597.31,597.31
Q3/2020 ,7893.83,7893.83
Q2/2020 ,1586.85,1586.85
Q1/2020 ,10855.48,10855.48
Q4/2019 ,11476.86,11476.86
Q3/2019 ,10828.26,10828.26
Q2/2019 ,4363.17,4363.17
Q1/2019 ,11588.11,11588.11
Q4/2018 ,6288.99,6288.99
Q3/2018 ,3829.5,3829.5
Q2/2018 ,4167.55,4167.55
Q1/2018 ,14192.86,14192.86
Q4/2017 ,10465.66,10465.66
Q3/2017 ,13281.35,13281.35
Q2/2017 ,6473.2,6473.2
Q1/2017 ,13731.65,13731.65
Q4/2016 ,9474.18,9474.18
Q3/2016 ,10501.97,10501.97
Q2/2016 ,7923.96,7923.96
Q1/2016 ,15537.89,15537.89
Q4/2015 ,10128.52,10128.52
Q3/2015 ,5178.3,5178.3
Q2/2015 ,3534.41,3534.41
Q1/2015 ,8911.69,8911.69
Q4/2014 ,7307.28,7307.28
Q3/2014 ,-594.73,-594.73
Q2/2014 ,-793.78,-793.78
Q1/2014 ,5724.14,5724.14
Q4/2013 ,2503.14,2503.14
Q3/2013 ,-347.87,-347.87
Q2/2013 ,-6908.71,-6908.71
Q1/2013 ,-4080.01,-4080.01
Q4/2012 ,-1704.38,-1704.38
Q3/2012 ,375.05,375.05
Q2/2012 ,-3536.92,-3536.92
Q1/2012 ,-33.01,-33.01
Q4/2011 ,7092.37,7092.37
Q3/2011 ,-1306.94,-1306.94
Q2/2011 ,-416.14,-416.14
Q1/2011 ,4057.56,4057.56
Q4/2010 ,4921.27,4921.27
Q3/2010 ,1350,1350
Q2/2010 ,685,685
Q1/2010 ,4529.81,4529.81
Q4/2009 ,4877.85,4877.85
Q3/2009 ,4075.6,4075.6
Q2/2009 ,3182.26,3182.26
Q1/2009 ,10053.4,10053.4
Q4/2008 ,-1595.78,-1595.78
Q3/2008 ,-1018.12,-1018.12
Q2/2008 ,89.44,89.44
Q1/2008 ,3455.37,3455.37
Q4/2007 ,6642.84,6642.84
Q3/2007 ,3575,3575
Q2/2007 ,938.12,938.12
Q1/2007 ,4427.8,4427.8
Q4/2006 ,2594.77,2594.77
Q3/2006 ,1240.29,1240.29
Q2/2006 ,-2273.22,-2273.22
Q1/2006 ,752.87,752.87
Q4/2005 ,-39.22,-39.22
Q3/2005 ,189.14,189.14
Q2/2005 ,-5430.78,-5430.78
Q1/2005 ,-2360.97,-2360.97
